"","NumPops","","Dch.C.90","Dch.C.90.3","Dch.C.90.500","Dch.RsqAdjPos.90","Dch.Morans.I.90","Dch.I.scaled.90","Dch.RsqAdjPos.90.3","Dch.Morans.I.90.3","Dch.I.scaled.90.3","Dch.RsqAdjPos.90.500","Dch.Morans.I.90.500","Dch.I.scaled.90.500"
"1","1R","90","20","0.585264323896364","0.584119116166115","0.596699730718726","0.69564979571114","0.56390664380998","0.43464148643228","0.696570631259292","0.5636605131968","0.43445177670507","0.701040416512635","0.575682968430419","0.443718306671804"
"2","1R","90","6","0.389945390377588","0.388602032457896","0.399869850983746","0.359205325570352","0.292027453756825","0.225085566863211","0.358442369476964","0.290999561201899","0.2242932996451","0.357163831488675","0.299468425152763","0.230820833336008"
"3","1R","90","20","0.565533006789624","0.569634309828259","0.571511015515145","0.688355762649217","0.550017862643971","0.423936451198183","0.691437875153324","0.553084321773016","0.4262999813473","0.697512536145036","0.562014686445405","0.433183225263996"
"4","1R","90","6","0.380897476865901","0.385160316185184","0.395760269452425","0.354393638212664","0.285495160314246","0.220050680747113","0.358781460358572","0.289836816434922","0.223397092587765","0.352445250105285","0.302365726816678","0.233053982236929"
"5","1R","90","20","0.573396190023535","0.576119148939949","0.58394504765914","0.688554125202385","0.554133274718497","0.427108481251364","0.689499424295051","0.556501061291374","0.42893349659191","0.68046739903073","0.558340989163302","0.430351655065412"
"6","1R","90","6","0.381509263572238","0.383324244944533","0.388579889032151","0.352564726068541","0.284341510370822","0.219161483693422","0.352233355710489","0.286027880517666","0.220461284707199","0.334714350057208","0.287785923066798","0.221816328552051"
"7","2R","90","20","0.661612030281638","0.663414914768441","0.661516526878016","0.706155916415306","0.612104213879839","0.471790655940285","0.712318205464686","0.614704242289717","0.473794675976652","0.692993170665472","0.609365592161615","0.469679812545459"
"8","2R","90","6","0.422378118464385","0.423429182582112","0.422708552691479","0.360304157959102","0.309818288310132","0.238798181991977","0.360314370249022","0.310955976257665","0.239675076041798","0.341064838009107","0.303906071292731","0.234241231261282"
"9","2R","90","20","0.672167009170824","0.660606428926258","0.661079702504627","0.714562932296156","0.622242516107971","0.479604940093","0.708610711629491","0.613842313411261","0.473130328334992","0.70118723192529","0.610078175876441","0.470229049637129"
"10","2R","90","6","0.429407732941349","0.422912929154163","0.426318255426054","0.366808364026204","0.317234721386511","0.244514535100647","0.357760590697507","0.312052768278322","0.240520448798793","0.337437994905665","0.307037616676445","0.236654927846255"
"11","2R","90","20","0.656667488164652","0.656758798318661","0.652016364654365","0.697535858904036","0.607041953355661","0.467888824913663","0.703913634537273","0.609391610967529","0.469699867021855","0.703828384039442","0.607947202254807","0.468586562263338"
"12","2R","90","6","0.418810031786524","0.418805289138128","0.415571265973282","0.350932352999022","0.304560449999904","0.234745605765639","0.350951376828187","0.305439367812664","0.235423047942963","0.336223125059913","0.299673224359925","0.23097868611678"
"13","IBD","90","20","0.419387204899091","0.412699739182654","0.417004026108617","0.431718684332417","0.332962568625372","0.256637064560651","0.424738919995397","0.326047806567141","0.251307383677643","0.424633998737601","0.328772120010842","0.253407198704962"
"14","IBD","90","6","0.290490747405607","0.286271422894572","0.287468893333555","0.207496735580649","0.158400373044187","0.122090020302283","0.209794452779041","0.154861125396617","0.119362079648848","0.181491395397834","0.154427614548745","0.119027943136409"
"15","IBD","90","20","0.423469284547462","0.420254156688811","0.434852508815142","0.430776791043882","0.334171907851452","0.257569185160033","0.432782369623141","0.333743164892754","0.257238723586453","0.431825586217277","0.339623706383643","0.261771259818617"
"16","IBD","90","6","0.290671426155291","0.289745961999366","0.302518766141858","0.203755118765459","0.156322948650119","0.120488806987101","0.204789605696777","0.157793809942482","0.121622500561145","0.174971483041905","0.162312037759186","0.125105008305732"
"17","IBD","90","20","0.413276089884897","0.415640074976572","0.430736503603283","0.423300528481065","0.3240781435967","0.249789229474921","0.424893443075977","0.326827392070734","0.251908263638541","0.419755048430687","0.336513744092032","0.259374198801493"
"18","IBD","90","6","0.285948341914004","0.286801761234927","0.294028376038132","0.200723760120531","0.151648220983391","0.116885674085519","0.19865576494352","0.153629924479155","0.118413108746063","0.179794675554624","0.153212432932576","0.118091319406693"
"19","IM","90","20","0.167599182750528","0.169154562190368","0.167465953364266","-0.000673499648541132","-0.00301733831977427","-0.00232566937590061","0.00335650079273897","-0.00256204095133275","-0.00197474049935627","-0.003152931153664","-0.00223524487364491","-0.00172285637185813"
"20","IM","90","6","0.166577797760113","0.168867099514978","0.167956179313385","-0.00474561586645028","-0.00626148143410512","-0.00482615274649013","-0.00670580818175859","-0.00375463675912667","-0.00289395579909146","0","-0.00390876274911622","-0.0030127512595143"
"21","IM","90","20","0.166094259358699","0.165807256965531","0.16404274881687","0.00118397014829152","-0.00492357752567208","-0.00379493853781193","-0.00298048663386119","-0.00389538947167194","-0.00300244355831826","0","-0.00483288318128624","-0.00372503419267329"
"22","IM","90","6","0.164644901112529","0.163506954528832","0.161502209270193","-0.0057628941094221","-0.00838250009851081","-0.00646096715268207","0","-0.00867666192854866","-0.00668769782958179","0","-0.0123453037285093","-0.00951537142170179"
"23","IM","90","20","0.167912119142926","0.168783266821829","0.167022022143367","0.00079213922976562","-0.00422400485521796","-0.00325572994949099","-0.00988419347403857","-0.00422503556313897","-0.00325652438670464","0","-0.00612309904260829","-0.00471949195609785"
"24","IM","90","6","0.166146603278297","0.168118110477867","0.17034250547387","-0.00386768411213123","-0.00720772447595633","-0.00555548709066041","-0.00716577197346102","-0.0051032115137397","-0.00393339476003331","0","-0.00809231958749596","-0.00623730515113333"
