"Trt" "NumPop" "Type" "Demog" "Envi" "SET" "NumInd" "DataSetNames" "GoodBFfile" "numNeut" "numSel" "xtx.999perc" "bf.999perc" "rho.999perc" "xtx.FPR" "bf.FPR" "rho.FPR" "xtx.TPR" "bf.TPR" "rho.TPR" "cpname" "K5.999perc" "KTW.999perc" "KTW" "Lq.K.5.FPR" "Lq.K.TW.FPR" "L.empQ.K.5.FPR" "L.empQ.K.TW.FPR" "Lq.K.5.TPR" "Lq.K.TW.TPR" "L.empQ.K.5.TPR" "L.empQ.K.TW.TPR" "pca.FPR.K10S" "pca.TPR.K10S" "pca.commonSelFactor.K10S" "pca.NumLocicommonSelFactor.K10S" "pca.FPR.K20S" "pca.TPR.K20S" "pca.commonSelFactor.K20S" "pca.NumLocicommonSelFactor.K20S" "pca.FPR.K10NS" "pca.TPR.K10NS" "pca.commonSelFactor.K10NS" "pca.NumLocicommonSelFactor.K10NS" "Vall.none" "Vall.pcadapt" "Vall.lfmm" "Vall.lfmm.pcadapt" "Vall.bf" "Vall.bf.pcadapt" "Vall.bf.lfmm" "Vall.bf.lfmm.pcadapt" "Vall.xtx" "Vall.xtx.pcadapt" "Vall.xtx.lfmm" "Vall.xtx.lfmm.pcadapt" "Vall.xtx.bf" "Vall.xtx.bf.pcadapt" "Vall.xtx.bf.lfmm" "Vall.xtx.bf.lfmm.pcadapt" "Vs.weak.none" "Vs.weak.pcadapt" "Vs.weak.lfmm" "Vs.weak.lfmm.pcadapt" "Vs.weak.bf" "Vs.weak.bf.pcadapt" "Vs.weak.bf.lfmm" "Vs.weak.bf.lfmm.pcadapt" "Vs.weak.xtx" "Vs.weak.xtx.pcadapt" "Vs.weak.xtx.lfmm" "Vs.weak.xtx.lfmm.pcadapt" "Vs.weak.xtx.bf" "Vs.weak.xtx.bf.pcadapt" "Vs.weak.xtx.bf.lfmm" "Vs.weak.xtx.bf.lfmm.pcadapt" "Vs.strong.none" "Vs.strong.pcadapt" "Vs.strong.lfmm" "Vs.strong.lfmm.pcadapt" "Vs.strong.bf" "Vs.strong.bf.pcadapt" "Vs.strong.bf.lfmm" "Vs.strong.bf.lfmm.pcadapt" "Vs.strong.xtx" "Vs.strong.xtx.pcadapt" "Vs.strong.xtx.lfmm" "Vs.strong.xtx.lfmm.pcadapt" "Vs.strong.xtx.bf" "Vs.strong.xtx.bf.pcadapt" "Vs.strong.xtx.bf.lfmm" "Vs.strong.xtx.bf.lfmm.pcadapt" "NotFound" "GEAonly" "FSTonly" "Both"
"P90" 90 "Pair" "1R" "1351142954_453" 1 20 "1R_P90_1351142954_453_1_NumPops=90_NumInd=20.bayenv" TRUE 9900 96 121.64 0.696600992784801 0.20097 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.760416666666667 0.760416666666667 0.385416666666667 "../LFMMBayenv2PCAdaptResults/1R_P90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 16.2171 2.78379 33 0.613131313131313 0 0.000101010101010101 0.000101010101010101 0.927083333333333 0.739583333333333 0.71875 0.8125 0.000101010101010101 0.541666666666667 "6" 79 0.000101010101010101 0.364583333333333 5 78 0.000101010101010101 0.5625 10 72 "16" "0" "4" "0" "0" "0" "3" "0" "1" "0" "2" "0" "1" "0" "17" "52" "11" "0" "3" "0" "0" "0" "3" "0" "1" "0" "2" "0" "0" "0" "13" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "16" "7" "1" "72"
"P90" 90 "Pair" "2R" "1351142954_453" 2 20 "2R_P90_1351142954_453_2_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 119.02 0.120310642636462 0.16777 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.85 0.88 0.37 "../LFMMBayenv2PCAdaptResults/2R_P90_1351142954_453_2_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 13.428 3.74099 27 0.55969696969697 0.000808080808080808 0.000101010101010101 0.000101010101010101 0.95 0.93 0.91 0.9 0.000101010101010101 0.68 "7" 91 0.000101010101010101 0.8 8 88 0.000101010101010101 0.86 7 91 "8" "0" "0" "0" "0" "0" "7" "0" "1" "0" "3" "0" "1" "0" "12" "68" "7" "0" "0" "0" "0" "0" "7" "0" "1" "0" "2" "0" "0" "0" "10" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "8" "7" "1" "84"
"P90" 90 "Pair" "IBD" "1351142954_453" 3 20 "IBD_P90_1351142954_453_3_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 125.19 1.03354437609095 0.16842 0.000202020202020202 0.000101010101010101 0.000101010101010101 0.99 0.37 0.07 "../LFMMBayenv2PCAdaptResults/IBD_P90_1351142954_453_3_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 12.3854 5.27017 25 0.564444444444444 0.0412121212121212 0.000202020202020202 0.000101010101010101 1 0.99 1 0.94 0.000202020202020202 1 "7" 100 0.000101010101010101 0.97 15 99 0.000202020202020202 0.98 7 100 "0" "1" "0" "0" "0" "0" "0" "0" "0" "5" "0" "57" "0" "0" "0" "37" "0" "1" "0" "0" "0" "0" "0" "0" "0" "5" "0" "40" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "6" "94"
"P90" 90 "Pair" "IM" "1351142954_453" 4 20 "IM_P90_1351142954_453_4_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 120.37 0.776621289695216 0.21687 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.44 0.72 0.5 "../LFMMBayenv2PCAdaptResults/IM_P90_1351142954_453_4_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 7.36138 7.36138 5 0.160808080808081 0.160808080808081 0.000101010101010101 0.000101010101010101 1 1 0.84 0.84 0.000101010101010101 0.62 "7" 100 0.000101010101010101 0.63 2 100 0.000101010101010101 0.66 4 100 "15" "0" "12" "0" "0" "0" "10" "19" "1" "0" "0" "0" "0" "0" "0" "43" "15" "0" "12" "0" "0" "0" "10" "10" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "15" "22" "1" "62"
"P90" 90 "Pair" "1R" "1351142970_988" 5 20 "1R_P90_1351142970_988_5_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 124.7 0.000390689249910088 0.15873 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.6 0.72 0.5 "../LFMMBayenv2PCAdaptResults/1R_P90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 17.5611 2.42968 33 0.633232323232323 0 0.000101010101010101 0.000101010101010101 0.87 0.54 0.65 0.7 0.000101010101010101 0.55 "5" 68 0.000101010101010101 0.13 1 75 0.000101010101010101 0.48 4 68 "23" "0" "4" "1" "5" "0" "7" "0" "0" "0" "0" "0" "0" "2" "6" "52" "15" "0" "4" "1" "4" "0" "6" "0" "0" "0" "0" "0" "0" "1" "4" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "23" "16" "0" "61"
"P90" 90 "Pair" "2R" "1351142970_988" 6 20 "2R_P90_1351142970_988_6_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 117.71 -0.293982431100993 0.13659 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.85 0.85 0.66 "../LFMMBayenv2PCAdaptResults/2R_P90_1351142970_988_6_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 13.4821 3.03056 29 0.566666666666667 0 0.000101010101010101 0.000101010101010101 0.96 0.8 0.89 0.87 0.000101010101010101 0.89 "7" 94 0.000101010101010101 0.62 8 88 0.000101010101010101 0.82 1 92 "8" "1" "2" "1" "0" "0" "0" "3" "1" "1" "0" "1" "0" "2" "0" "80" "5" "1" "2" "1" "0" "0" "0" "3" "1" "1" "0" "1" "0" "2" "0" "33" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "8" "2" "3" "87"
"P90" 90 "Pair" "IBD" "1351142970_988" 7 20 "IBD_P90_1351142970_988_7_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 122.91 1.03869962302062 0.15169 0.000202020202020202 0.000101010101010101 0.000101010101010101 1 0.3 0.07 "../LFMMBayenv2PCAdaptResults/IBD_P90_1351142970_988_7_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 9.85796 4.78102 26 0.368686868686869 0.0153535353535354 0.000101010101010101 0.000101010101010101 1 1 0.08 0.9 0.000202020202020202 0.99 "7" 101 0.000101010101010101 0.94 16 100 0.000202020202020202 1 4 100 "0" "0" "0" "0" "0" "0" "0" "0" "1" "9" "0" "60" "0" "0" "0" "30" "0" "0" "0" "0" "0" "0" "0" "0" "1" "9" "0" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "10" "90"
"P90" 90 "Pair" "IM" "1351142970_988" 8 20 "IM_P90_1351142970_988_8_NumPops=90_NumInd=20.bayenv" TRUE 9900 100 117.46 0.626709822507407 0.18057 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.31 0.66 0.59 "../LFMMBayenv2PCAdaptResults/IM_P90_1351142970_988_8_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 7.94381 7.94381 5 0.167474747474747 0.167474747474747 0.000101010101010101 0.000101010101010101 0.99 0.99 0.71 0.71 0.000101010101010101 0.66 "5" 98 0.000101010101010101 0.53 17 96 0.000101010101010101 0.56 2 96 "28" "1" "4" "1" "0" "0" "2" "33" "0" "0" "0" "0" "0" "0" "0" "31" "28" "1" "4" "1" "0" "0" "2" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "28" "6" "1" "65"
"P90" 90 "Pair" "1R" "1351142986_950" 9 20 "1R_P90_1351142986_950_9_NumPops=90_NumInd=20.bayenv" TRUE 9900 96 123.69 0.551718299309702 0.15742 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.65625 0.71875 0.572916666666667 "../LFMMBayenv2PCAdaptResults/1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 18.6495 2.70148 34 0.693131313131313 0 0.000101010101010101 0.000101010101010101 0.854166666666667 0.604166666666667 0.666666666666667 0.729166666666667 0.000101010101010101 0.625 "8" 67 0.000101010101010101 0 5 66 0.000101010101010101 0.604166666666667 3 65 "24" "0" "2" "0" "1" "0" "5" "1" "0" "0" "0" "1" "0" "1" "4" "57" "13" "0" "1" "0" "1" "0" "4" "1" "0" "0" "0" "1" "0" "1" "3" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "24" "8" "0" "64"
"P90" 90 "Pair" "2R" "1351142986_950" 10 20 "2R_P90_1351142986_950_10_NumPops=90_NumInd=20.bayenv" TRUE 9900 99 115.98 -0.0112003305609736 0.13993 0.000101010101010101 0.000101010101010101 0.000101010101010101 0.898989898989899 0.868686868686869 0.646464646464647 "../LFMMBayenv2PCAdaptResults/2R_P90_1351142986_950_10_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval" 13.6954 4.58575 29 0.587878787878788 0.0178787878787879 0.000101010101010101 0.000101010101010101 0.95959595959596 0.848484848484849 0.909090909090909 0.444444444444444 0.000101010101010101 0.909090909090909 "2" 90 0.000101010101010101 0.353535353535354 3 88 0.000101010101010101 0.848484848484849 3 89 "9" "1" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "42" "0" "44" "6" "1" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "25" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "9" "0" "4" "86"
