Demography,NumPops,NumInd,NumLoci,Fst,Adj.Rsqr.Pos,Morans.I,Scaled.Morans.I
1R,90,20,9900,0.0141,0.690348049,0.559936254,0.431581235
1R,90,6,9900,0.0142,0.358532517,0.290681509,0.224048155
1R,90,20,9900,0.0143,0.687073521,0.551134249,0.424796926
1R,90,6,9900,0.0143,0.357915024,0.287363126,0.22149045
1R,90,20,9900,0.0139,0.686936322,0.553844397,0.426885824
1R,90,6,9900,0.0139,0.355849952,0.287306427,0.221446748
2R,90,20,9900,0.0128,0.701248943,0.608760485,0.469213415
2R,90,6,9900,0.0129,0.359049791,0.309090549,0.238237263
2R,90,20,9900,0.0129,0.706281066,0.618331821,0.476590699
2R,90,6,9900,0.0129,0.364889298,0.31502897,0.242814412
2R,90,20,9900,0.0127,0.693957353,0.604963079,0.466286494
2R,90,6,9900,0.0127,0.349933217,0.304551082,0.234738385
IBD,90,20,9900,0.0139,0.429195775,0.330609833,0.25482365
IBD,90,6,9900,0.0139,0.208770524,0.157445512,0.121354044
IBD,90,20,9900,0.0139,0.428701729,0.332214858,0.256060752
IBD,90,6,9900,0.0138,0.204195302,0.156840615,0.120887808
IBD,90,20,9900,0.0137,0.418139772,0.320343968,0.246911044
IBD,90,6,9900,0.0138,0.199272239,0.150663638,0.116126789
IM,90,20,9900,0.0131,-0.000224797,-0.004092649,-0.003154485
IM,90,6,9900,0.0131,-0.006171784,-0.007099741,-0.005472257
IM,90,20,9900,0.013,-9.52E-05,-0.005574417,-0.004296585
IM,90,6,9900,0.0129,-0.004083083,-0.008590411,-0.006621218
IM,90,20,9900,0.0132,0.002094877,-0.003486307,-0.002687135
IM,90,6,9900,0.0131,-0.001194226,-0.006651716,-0.005126933
1R,90,20,3300,0.0141,0.688232921,0.558086457,0.43015547
1R,90,6,3300,0.0141,0.354937807,0.288231231,0.222159558
1R,90,20,3300,0.0144,0.68750729,0.551139761,0.424801175
1R,90,6,3300,0.0143,0.359453413,0.28850605,0.222371379
1R,90,20,3300,0.0139,0.688977308,0.557828475,0.429956626
1R,90,6,3300,0.0138,0.355978496,0.290212117,0.223686362
2R,90,20,3300,0.013,0.706831067,0.611881172,0.471618742
2R,90,6,3300,0.013,0.360943552,0.312888363,0.241164499
2R,90,20,3300,0.0129,0.705889128,0.613968635,0.473227693
2R,90,6,3300,0.0129,0.361809405,0.31311512,0.241339276
2R,90,20,3300,0.0127,0.696284828,0.60447639,0.46591137
2R,90,6,3300,0.0126,0.348759316,0.304709887,0.234860787
IBD,90,20,3300,0.0139,0.425653557,0.325261135,0.250701042
IBD,90,6,3300,0.0139,0.20710387,0.154904843,0.119395776
IBD,90,20,3300,0.0138,0.431538567,0.334844123,0.258087307
IBD,90,6,3300,0.0138,0.206277667,0.159818384,0.123182979
IBD,90,20,3300,0.0136,0.41876148,0.322637232,0.24867862
IBD,90,6,3300,0.0137,0.200318961,0.152963724,0.117899622
IM,90,20,3300,0.013,-0.002114875,-0.003042459,-0.002345032
IM,90,6,3300,0.0129,-0.006330452,-0.005314477,-0.004096231
IM,90,20,3300,0.0128,-0.006410617,-0.006505673,-0.005014368
IM,90,6,3300,0.0126,0,-0.009955105,-0.007673082
IM,90,20,3300,0.0131,-0.004305779,-0.004602828,-0.003547715
IM,90,6,3300,0.0131,-0.008975866,-0.005637299,-0.004345053
1R,90,20,500,0.0143,0.688125098,0.570828178,0.439976387
1R,90,6,500,0.0141,0.340192067,0.293303468,0.226069078
1R,90,20,500,0.0146,0.696682787,0.56128005,0.43261699
1R,90,6,500,0.0142,0.356479168,0.296284935,0.228367099
1R,90,20,500,0.0134,0.680878341,0.558751408,0.430667993
1R,90,6,500,0.013,0.339572052,0.289574696,0.223195058
2R,90,20,500,0.0122,0.696768385,0.607821242,0.468489476
2R,90,6,500,0.0119,0.345544333,0.309321296,0.238415116
2R,90,20,500,0.0127,0.697977206,0.606829193,0.467724836
2R,90,6,500,0.0126,0.354498326,0.308430618,0.23772861
2R,90,20,500,0.0124,0.688864532,0.60064295,0.462956674
2R,90,6,500,0.0119,0.335856471,0.297039905,0.228949006
IBD,90,20,500,0.0142,0.435865516,0.33484019,0.258084276
IBD,90,6,500,0.0141,0.201553977,0.160685294,0.123851165
IBD,90,20,500,0.0141,0.43243496,0.342400286,0.26391136
IBD,90,6,500,0.0143,0.197309665,0.165960079,0.127916803
IBD,90,20,500,0.0142,0.4153804,0.329101207,0.253660849
IBD,90,6,500,0.0142,0.1756852,0.153224429,0.118100565
IM,90,20,500,0.0129,0,-0.006962334,-0.005366348
IM,90,6,500,0.0125,0,-0.009278988,-0.007151952
IM,90,20,500,0.0124,0,-0.01359155,-0.010475939
IM,90,6,500,0.0121,0,-0.017515016,-0.013500023
IM,90,20,500,0.0135,0,-0.006632713,-0.005112287
IM,90,6,500,0.0132,0,-0.009068412,-0.006989647
